Borough,Complaint Type,Count
BRONX,Noise - Residential,1165231
BRONX,HEAT/HOT WATER,849577
BRONX,Illegal Parking,419811
BROOKLYN,Illegal Parking,1072249
BROOKLYN,Noise - Residential,1006487
BROOKLYN,HEAT/HOT WATER,709235
MANHATTAN,Noise - Residential,740802
MANHATTAN,HEAT/HOT WATER,561786
MANHATTAN,Noise - Street/Sidewalk,489730
QUEENS,Illegal Parking,888643
QUEENS,Noise - Residential,724409
QUEENS,Blocked Driveway,699402
STATEN ISLAND,Street Condition,159259
STATEN ISLAND,Illegal Parking,114656
STATEN ISLAND,Noise - Residential,103648
Unspecified,HEATING,282707
Unspecified,GENERAL CONSTRUCTION,150258
Unspecified,PLUMBING,132297
